600	33	3
1	0.05	0.01
1	0	6	17	1	2	A 4
2	1	8	27	2	4	D 2
3	0	9	25	1	5	A 3
4	1	12	23	4	1	A 2
5	2	17	17	1	4	B 1
6	0	20	27	3	3	B 3
7	0	22	14	5	3	C 4
8	0	24	26	5	2	B 1
9	2	25	19	2	5	B 3
10	2	29	18	4	1	A 2
11	2	31	11	2	1	A 4
12	2	31	18	3	2	D 3 
13	0	32	25	3	1	C 2
14	2	36	18	1	2	A 3
15	2	40	22	4	2	C 4
16	1	40	18	5	5	C 1
17	0	42	19	3	3	B 2
18	0	42	28	2	3	B 3
19	0	42	18	4	2	A 2
20	2	47	26	1	2	C 1
21	1	50	18	1	1	D 2
22	1	53	26	4	5	D 3
23	1	57	26	4	1	C 4
24	0	59	10	4	3	C 5
25	1	59	26	1	1	C 1
26	2	60	25	5	5	D 2
27	1	60	28	2	2	C 3
28	1	65	10	1	4	B 5
29	1	70	11	3	5	D 4
30	0	71	14	1	2	A 2
31	0	71	15	5	3	B 1
32	1	73	16	4	3	A 1 
33	1	75	29	5	5	C 2
34	1	79	22	5	3	B 3
35	1	83	16	3	4	B 7
36	1	87	17	4	4	A 4
37	2	89	19	5	2	C 5
38	1	91	21	2	4	D 1
39	2	96	13	1	4	A 2
40	0	97	23	4	2	B 3 
41	0	99	16	2	1	B 1
42	0	99	18	3	2	B 1 
43	1	99	13	5	3	A 1
44	2	101	21	1	4	A 1
45	1	104	13	1	1	D 1
46	2	107	20	1	2	B 2
47	0	108	15	3	4	A 3
48	0	109	14	1	2	B 3
49	2	112	13	1	5	B 2
50	1	115	13	1	3	B 1 
51	1	120	21	4	3	B 2
52	1	123	14	3	2	A 1
53	0	124	21	2	4	A 3
54	2	127	14	5	5	C 2
55	2	130	29	3	4	C 1
56	1	135	21	5	4	A 2
57	0	138	19	3	3	C 1
58	0	143	10	2	3	C 1
59	2	148	10	1	2	D 2
60	1	153	13	5	1	C 1
61	0	158	23	1	2	A 1
62	2	159	17	1	5	D 2
63	2	164	27	5	3	C 4
64	0	168	23	2	2	C 5
65	1	169	25	3	5	B 2
66	0	171	26	5	2	B 1
67	2	175	15	1	1	A 3 
68	2	177	27	4	5	C 2
69	2	179	10	1	1	C 4
70	0	183	27	4	3	A 5
71	1	187	26	1	4	C 1
72	2	191	27	5	2	C 1
73	0	191	10	4	5	C 1 
74	0	196	17	3	5	A 2
75	2	196	15	1	5	A 3
76	1	200	23	4	4	D 4 
77	1	201	21	2	3	C 5
78	1	204	28	5	4	B 2
79	2	206	28	5	2	B 1
80	0	206	21	2	3	C 1
81	0	210	21	4	5	B 1
82	0	214	27	5	4	B 2 
83	1	216	12	5	1	D 4
84	0	216	16	2	1	A 5
85	1	218	19	2	3	A 1
86	0	221	24	5	2	C 2
87	0	225	12	2	3	B 1
88	2	230	16	3	2	A 1
89	1	230	10	1	5	A 1
90	0	235	14	3	1	C 1
91	2	236	23	4	1	C 1
92	0	238	15	4	3	A 1
93	2	239	11	5	3	C 2
94	0	241	18	1	1	D 3
95	1	243	14	5	1	C 4
96	0	245	20	2	4	D 5
97	0	245	27	3	3	B 2
98	1	248	22	5	2	C 3
99	1	250	24	5	5	B 4
100	2	252	11	5	1	D 4
101	0	253	17	1	2	A 5
102	1	254	27	2	4	D 4
103	0	255	25	1	5	A 3
104	1	256	23	4	1	A 1
105	2	257	17	1	4	B 1
106	0	258	27	3	3	B 1
107	0	259	14	5	3	C 1
108	0	260	26	5	2	B 1
109	2	261	19	2	5	B 1
110	2	262	18	4	1	A 1
111	2	263	11	2	1	A 1
112	2	264	18	3	2	D 3
113	0	265	25	3	1	C 4
114	2	266	18	1	2	A 4
115	2	267	22	4	2	C 5
116	1	268	18	5	5	C 6
117	0	268	19	3	3	B 5
118	0	269	28	2	3	B 4
119	0	270	18	4	2	A 4
120	2	270	26	1	2	C 1
121	1	270	18	1	1	D 1 
122	1	270	26	4	5	D 1
123	1	270	26	4	1	C 1
124	0	270	10	4	3	C 1
125	1	270	26	1	1	C 2
126	2	270	25	5	5	D 2
127	1	270	28	2	2	C 2
128	1	270	10	1	4	B 2
129	1	270	11	3	5	D 2
130	0	270	14	1	2	A 1
131	0	270	15	5	3	B 1
132	1	270	16	4	3	A 1
133	1	270	29	5	5	C 1
134	1	270	22	5	3	B 3
135	1	270	16	3	4	B 2
136	1	270	17	4	4	A 2
137	2	270	19	5	2	C 2 
138	1	270	21	2	4	D 1
139	2	270	13	1	4	A 1
140	0	270	23	4	2	B 1
141	0	270	16	2	1	B 2
142	0	270	18	3	2	B 2
143	1	270	13	5	3	A 2
144	2	270	21	1	4	A 2
145	1	270	13	1	1	D 1
146	2	270	20	1	2	B 1
147	0	270	15	3	4	A 1
148	0	270	14	1	2	B 3
149	2	270	13	1	5	B 3
150	1	270	13	1	3	B 4 
151	1	270	21	4	3	B 5
152	1	270	14	3	2	A 5
153	0	270	21	2	4	A 2
154	2	270	14	5	5	C 2
155	2	270	29	3	4	C 3
156	1	270	21	5	4	A 2
157	0	270	19	3	3	C 1 
158	0	270	10	2	3	C 2
159	2	270	10	1	2	D 2
160	1	270	13	5	1	C 3
161	0	270	23	1	2	A 5
162	2	270	17	1	5	D 6
163	2	270	27	5	3	C 6
164	0	270	23	2	2	C 2
165	1	270	25	3	5	B 1
166	0	270	26	5	2	B 3
167	2	270	15	1	1	A 5
168	2	270	27	4	5	C 4
169	2	270	10	1	1	C 1
170	0	270	27	4	3	A 2
171	1	270	26	1	4	C 2
172	2	270	27	5	2	C 4 
173	0	270	10	4	5	C 1
174	0	270	17	3	5	A 1
175	2	270	15	1	5	A 1
176	1	270	23	4	4	D 1
177	1	270	21	2	3	C 5
178	1	270	28	5	4	B 4
179	2	270	28	5	2	B 4
180	0	270	21	2	3	C 4
181	0	270	21	4	5	B 1 
182	0	270	27	5	4	B 1
183	1	270	12	5	1	D 1
184	0	270	16	2	1	A 2 
